"","Plant_ID","Genotype","Year","Days","Leaf_Weight","Genotype_P"
"318","29","P","1989",20,0.232,1
"319","29","P","1989",27,0.436,1
"320","29","P","1989",34,1.44333,1
"321","29","P","1989",41,3.26,1
"322","29","P","1989",55,8.20833,1
"323","29","P","1989",69,19.4067,1
"324","29","P","1989",84,15.66167,1
"325","30","P","1989",14,0.063,1
"326","30","P","1989",20,0.209,1
"327","30","P","1989",27,0.74083,1
"328","30","P","1989",34,1.26833,1
"329","30","P","1989",41,3.89,1
"330","30","P","1989",55,9.092,1
"331","30","P","1989",69,14.49,1
"332","30","P","1989",84,19.095,1
"333","31","P","1989",14,0.133,1
"334","31","P","1989",20,0.303,1
"335","31","P","1989",27,1.117,1
"336","31","P","1989",34,2.18,1
"337","31","P","1989",41,3.53667,1
"338","31","P","1989",55,13.16,1
"339","31","P","1989",69,15.79,1
"340","31","P","1989",84,14.775,1
"341","32","P","1989",14,0.081,1
"342","32","P","1989",20,0.255,1
"343","32","P","1989",27,0.76483,1
"344","32","P","1989",34,1.09333,1
"345","32","P","1989",41,3.05167,1
"346","32","P","1989",55,8.105,1
"347","32","P","1989",69,24.424,1
"348","32","P","1989",84,18.9183,1
"349","41","P","1990",15,0.14874,1
"350","41","P","1990",23,0.687,1
"351","41","P","1990",30,1.57167,1
"352","41","P","1990",37,3.81333,1
"353","41","P","1990",43,4.81167,1
"354","41","P","1990",51,11.65333,1
"355","41","P","1990",64,17.3767,1
"356","41","P","1990",79,17.8967,1
"357","42","P","1990",15,0.15376,1
"358","42","P","1990",23,0.59417,1
"359","42","P","1990",30,1.2,1
"360","42","P","1990",37,3.145,1
"361","42","P","1990",43,3.80333,1
"362","42","P","1990",51,7.41667,1
"363","42","P","1990",64,13.58,1
"364","42","P","1990",79,20.86,1
"365","43","P","1990",15,0.12417,1
"366","43","P","1990",23,0.75033,1
"367","43","P","1990",30,1.45833,1
"368","43","P","1990",37,5.75833,1
"369","43","P","1990",43,5.99667,1
"370","43","P","1990",51,8.97167,1
"371","43","P","1990",64,17.0717,1
"372","43","P","1990",79,17.8167,1
"373","44","P","1990",15,0.17847,1
"374","44","P","1990",23,0.88083,1
"375","44","P","1990",30,1.38167,1
"376","44","P","1990",37,3.62833,1
"377","44","P","1990",43,5.19333,1
"378","44","P","1990",51,5.19,1
"379","44","P","1990",64,15.78,1
"380","44","P","1990",79,21.54167,1
"381","45","P","1990",15,0.13915,1
"382","45","P","1990",23,0.45583,1
"383","45","P","1990",30,1.58333,1
"384","45","P","1990",37,4.055,1
"385","45","P","1990",43,4.51,1
"386","45","P","1990",51,8.16167,1
"387","45","P","1990",64,18.715,1
"388","45","P","1990",79,17.955,1
"389","46","P","1990",15,0.16271,1
"390","46","P","1990",23,0.77367,1
"391","46","P","1990",30,0.975,1
"392","46","P","1990",37,3.51167,1
"393","46","P","1990",43,4.51,1
"394","46","P","1990",51,7.78333,1
"395","46","P","1990",64,18.11833,1
"396","46","P","1990",79,15.94667,1
"397","47","P","1990",15,0.11043,1
"398","47","P","1990",23,0.456,1
"399","47","P","1990",30,1.37,1
"400","47","P","1990",37,2.145,1
"401","47","P","1990",43,5.83,1
"402","47","P","1990",51,8.80333,1
"403","47","P","1990",64,12.235,1
"404","47","P","1990",79,17.785,1
"405","48","P","1990",15,0.146,1
"406","48","P","1990",23,0.56367,1
"407","48","P","1990",30,1.47833,1
"408","48","P","1990",37,2.60167,1
"409","48","P","1990",43,6.34333,1
"410","48","P","1990",51,6.13167,1
"411","48","P","1990",64,16.4117,1
"412","48","P","1990",79,16.9467,1
